Datum;Zugnummer;Halt;an;ab
2026-06-21;NJ 13487;Zürich HB;;20:34
2026-06-21;NJ 13487;Winterthur;20:56;21:00
2026-06-21;NJ 13487;St. Gallen(CH);21:33;21:36
2026-06-21;NJ 13487;St. Margrethen SG;21:56;22:01
2026-06-21;NJ 13487;Feldkirch;22:34;23:10
2026-06-21;NJ 13487;Bludenz;23:24;23:26
2026-06-22;NJ 13487;Landeck-Zams;00:27;00:29
2026-06-22;NJ 13487;Innsbruck Hbf;01:12;01:20
2026-06-22;NJ 13487;Salzburg Hbf;03:22;04:35
2026-06-22;NJ 13487;Attnang-Puchheim;05:22;05:23
2026-06-22;NJ 13487;Wels Hbf;05:40;05:42
2026-06-22;NJ 13487;Linz Hbf;05:58;06:00
2026-06-22;NJ 13487;Amstetten NÖ;06:37;06:45
2026-06-22;NJ 13487;St.Pölten Hbf;07:11;07:18
2026-06-22;NJ 13487;Wien Meidling;07:51;07:53
2026-06-22;NJ 13487;Wien Hbf;07:58;
2026-06-22;NJ 13487;Zürich HB;;20:35
2026-06-22;NJ 13487;Winterthur;20:58;20:59
2026-06-22;NJ 13487;St. Gallen(CH);21:37;21:38
2026-06-22;NJ 13487;St. Margrethen SG;21:57;22:03
2026-06-22;NJ 13487;Feldkirch;22:36;23:10
2026-06-22;NJ 13487;Bludenz;23:24;23:43
2026-06-23;NJ 13487;Landeck-Zams;00:36;00:38
2026-06-23;NJ 13487;Innsbruck Hbf;01:20;01:26
2026-06-23;NJ 13487;Salzburg Hbf;03:23;04:34
2026-06-23;NJ 13487;Attnang-Puchheim;05:19;05:21
2026-06-23;NJ 13487;Wels Hbf;05:39;05:41
2026-06-23;NJ 13487;Linz Hbf;05:58;06:00
2026-06-23;NJ 13487;Amstetten NÖ;06:37;06:45
2026-06-23;NJ 13487;St.Pölten Hbf;07:11;07:18
2026-06-23;NJ 13487;Wien Meidling;07:54;07:57
2026-06-23;NJ 13487;Wien Hbf;08:01;
2026-06-22;EN 463;Salzburg Hbf;;04:01
2026-06-22;EN 463;Linz Hbf;05:09;05:11
2026-06-22;EN 463;St.Pölten Hbf;05:58;06:00
2026-06-22;EN 463;Wien Meidling;06:24;06:27
2026-06-22;EN 463;Wien Hbf;06:32;06:40
2026-06-22;EN 463;Hegyeshalom;07:25;07:28
2026-06-22;EN 463;Mosonmagyarovar;07:35;07:36
2026-06-22;EN 463;Györ;07:54;07:56
2026-06-22;EN 463;Tatabanya;08:29;08:30
2026-06-22;EN 463;Budapest-Kelenföld;09:02;09:11
2026-06-22;EN 463;Budapest-Keleti;09:29;
2026-06-21;NJ 13486;Wien Hbf;;21:39
2026-06-21;NJ 13486;Wien Meidling;21:44;21:47
2026-06-21;NJ 13486;St.Pölten Hbf;22:12;22:14
2026-06-21;NJ 13486;Amstetten NÖ;22:37;22:46
2026-06-21;NJ 13486;Linz Hbf;23:08;23:13
2026-06-21;NJ 13486;Wels Hbf;23:28;23:30
2026-06-21;NJ 13486;Attnang-Puchheim;23:47;23:48
2026-06-22;NJ 13486;Salzburg Hbf;00:38;02:32
2026-06-22;NJ 13486;Innsbruck Hbf;04:29;04:35
2026-06-22;NJ 13486;Feldkirch;06:37;07:06
2026-06-22;NJ 13486;St. Margrethen SG;07:41;07:46
2026-06-22;NJ 13486;Zürich HB;10:58;
2026-06-22;NJ 13486;Wien Hbf;;21:53
2026-06-22;NJ 13486;Wien Meidling;21:57;21:59
2026-06-22;NJ 13486;St.Pölten Hbf;22:21;22:24
2026-06-22;NJ 13486;Amstetten NÖ;22:44;22:47
2026-06-22;NJ 13486;Linz Hbf;23:10;23:14
2026-06-22;NJ 13486;Wels Hbf;23:28;23:30
2026-06-22;NJ 13486;Attnang-Puchheim;23:42;23:45
2026-06-23;NJ 13486;Salzburg Hbf;00:34;02:58
2026-06-23;NJ 13486;Innsbruck Hbf;04:48;04:56
2026-06-23;NJ 13486;Feldkirch;06:50;06:57
2026-06-23;NJ 13486;St. Margrethen SG;07:32;07:46
2026-06-23;NJ 13486;Zürich HB;10:36;
2026-06-22;EN 462;Budapest-Keleti;;20:30
2026-06-22;EN 462;Budapest-Kelenföld;20:47;20:55
2026-06-22;EN 462;Tatabanya;21:25;21:26
2026-06-22;EN 462;Györ;22:00;22:02
2026-06-22;EN 462;Mosonmagyarovar;22:19;22:20
2026-06-22;EN 462;Hegyeshalom;22:29;22:57
2026-06-22;EN 462;Wien Hbf;23:38;23:44
2026-06-22;EN 462;Wien Meidling;23:48;23:59
2026-06-23;EN 462;St.Pölten Hbf;00:22;00:24
2026-06-23;EN 462;Linz Hbf;01:06;01:09
2026-06-23;EN 462;Salzburg Hbf;02:25;
2026-06-21;NJ 13485;Zürich HB;;21:33
2026-06-21;NJ 13485;St. Gallen(CH);22:33;22:35
2026-06-21;NJ 13485;St. Margrethen SG;22:58;23:05
2026-06-21;NJ 13485;Feldkirch;23:34;23:52
2026-06-22;NJ 13485;Bludenz;00:11;00:11
2026-06-22;NJ 13485;Landeck-Zams;01:05;01:03
2026-06-22;NJ 13485;Innsbruck Hbf;01:49;01:53
2026-06-22;NJ 13485;Schwarzach-St.Veit;04:03;04:54
2026-06-22;NJ 13485;Dorfgastein;05:07;05:09
2026-06-22;NJ 13485;Bad Hofgastein;05:13;05:14
2026-06-22;NJ 13485;Bad Gastein;05:25;05:27
2026-06-22;NJ 13485;Mallnitz-Obervellach;05:40;05:42
2026-06-22;NJ 13485;Spittal-Millstättersee;06:03;06:05
2026-06-22;NJ 13485;Villach Hbf;06:28;06:36
2026-06-22;NJ 13485;Velden am Wörther See;06:47;06:48
2026-06-22;NJ 13485;Pörtschach am Wörther See;06:53;06:55
2026-06-22;NJ 13485;Klagenfurt Hbf;07:04;07:07
2026-06-22;NJ 13485;Kühnsdorf-Klopeiner See;07:19;07:21
2026-06-22;NJ 13485;St. Paul im Lavanttal;07:36;07:38
2026-06-22;NJ 13485;Weststeiermark;07:56;08:07
2026-06-22;NJ 13485;Graz Hbf;08:30;
2026-06-22;NJ 13485;Zürich HB;;21:33
2026-06-22;NJ 13485;St. Gallen(CH);22:34;22:35
2026-06-22;NJ 13485;St. Margrethen SG;22:58;23:01
2026-06-22;NJ 13485;Feldkirch;23:34;23:52
2026-06-23;NJ 13485;Bludenz;00:04;00:07
2026-06-23;NJ 13485;Landeck-Zams;01:01;01:03
2026-06-23;NJ 13485;Innsbruck Hbf;01:47;01:51
2026-06-23;NJ 13485;Schwarzach-St.Veit;04:03;04:58
2026-06-23;NJ 13485;Dorfgastein;05:09;05:11
2026-06-23;NJ 13485;Bad Hofgastein;05:15;05:16
2026-06-23;NJ 13485;Bad Gastein;05:27;05:28
2026-06-23;NJ 13485;Mallnitz-Obervellach;05:41;05:42
2026-06-23;NJ 13485;Spittal-Millstättersee;06:03;06:05
2026-06-23;NJ 13485;Villach Hbf;06:28;06:45
2026-06-23;NJ 13485;Velden am Wörther See;06:55;06:57
2026-06-23;NJ 13485;Pörtschach am Wörther See;07:01;07:04
2026-06-23;NJ 13485;Klagenfurt Hbf;07:13;07:15
2026-06-23;NJ 13485;Kühnsdorf-Klopeiner See;07:29;07:30
2026-06-23;NJ 13485;St. Paul im Lavanttal;07:44;07:45
2026-06-23;NJ 13485;Weststeiermark;08:01;08:07
2026-06-23;NJ 13485;Graz Hbf;08:30;
2026-06-22;EN 415;Salzburg Hbf;;02:12
2026-06-22;EN 415;Schwarzach-St.Veit;03:02;04:27
2026-06-22;EN 415;Spittal-Millstättersee;05:28;05:30
2026-06-22;EN 415;Villach Hbf;05:53;06:06
2026-06-22;EN 415;Jesenice(SLO);06:42;06:54
2026-06-22;EN 415;Lesce-Bled;07:04;07:06
2026-06-22;EN 415;Kranj;07:25;07:27
2026-06-22;EN 415;Ljubljana;07:49;08:10
2026-06-22;EN 415;Zidani Most;09:05;09:07
2026-06-22;EN 415;Sevnica;09:22;09:23
2026-06-22;EN 415;Krsko;09:38;09:39
2026-06-22;EN 415;Dobova;09:53;10:05
2026-06-22;EN 415;Zapresic;10:17;10:18
2026-06-22;EN 415;Zagreb Glavni Kolod.;10:30;
2026-06-21;NJ 13484;Graz Hbf;;21:43
2026-06-21;NJ 13484;Weststeiermark;22:02;22:04
2026-06-21;NJ 13484;St. Paul im Lavanttal;22:22;22:50
2026-06-21;NJ 13484;Kühnsdorf-Klopeiner See;23:04;23:06
2026-06-21;NJ 13484;Klagenfurt Hbf;23:15;23:17
2026-06-21;NJ 13484;Pörtschach am Wörther See;23:24;23:28
2026-06-21;NJ 13484;Velden am Wörther See;23:32;23:34
2026-06-21;NJ 13484;Villach Hbf;23:44;23:48
2026-06-22;NJ 13484;Spittal-Millstättersee;00:11;00:12
2026-06-22;NJ 13484;Mallnitz-Obervellach;00:33;00:37
2026-06-22;NJ 13484;Bad Gastein;00:48;00:50
2026-06-22;NJ 13484;Bad Hofgastein;00:59;01:00
2026-06-22;NJ 13484;Dorfgastein;01:04;01:05
2026-06-22;NJ 13484;Schwarzach-St.Veit;01:12;03:05
2026-06-22;NJ 13484;Innsbruck Hbf;04:49;04:53
2026-06-22;NJ 13484;Landeck-Zams;05:45;05:51
2026-06-22;NJ 13484;St. Anton am Arlberg;06:20;06:22
2026-06-22;NJ 13484;Langen am Arlberg;06:30;06:32
2026-06-22;NJ 13484;Bludenz;06:56;07:06
2026-06-22;NJ 13484;Feldkirch;07:22;07:53
2026-06-22;NJ 13484;St. Margrethen SG;08:25;08:46
2026-06-22;NJ 13484;Zürich HB;11:38;
2026-06-22;NJ 13484;Graz Hbf;;21:43
2026-06-22;NJ 13484;Weststeiermark;22:29;22:33
2026-06-22;NJ 13484;St. Paul im Lavanttal;22:49;22:56
2026-06-22;NJ 13484;Kühnsdorf-Klopeiner See;23:09;23:11
2026-06-22;NJ 13484;Klagenfurt Hbf;23:22;23:24
2026-06-22;NJ 13484;Pörtschach am Wörther See;23:31;23:33
2026-06-22;NJ 13484;Velden am Wörther See;23:41;23:42
2026-06-22;NJ 13484;Villach Hbf;23:52;23:54
2026-06-23;NJ 13484;Spittal-Millstättersee;00:17;00:18
2026-06-23;NJ 13484;Mallnitz-Obervellach;00:39;00:40
2026-06-23;NJ 13484;Bad Gastein;00:52;00:53
2026-06-23;NJ 13484;Bad Hofgastein;01:03;01:04
2026-06-23;NJ 13484;Dorfgastein;01:09;01:10
2026-06-23;NJ 13484;Schwarzach-St.Veit;01:20;02:36
2026-06-23;NJ 13484;Innsbruck Hbf;04:49;05:02
2026-06-23;NJ 13484;Landeck-Zams;05:56;05:57
2026-06-23;NJ 13484;St. Anton am Arlberg;06:20;06:21
2026-06-23;NJ 13484;Langen am Arlberg;06:28;06:30
2026-06-23;NJ 13484;Bludenz;06:53;07:06
2026-06-23;NJ 13484;Feldkirch;07:23;07:53
2026-06-23;NJ 13484;St. Margrethen SG;08:25;08:46
2026-06-23;NJ 13484;Zürich HB;11:38;
2026-06-21;EN 414;Zagreb Glavni Kolod.;;19:39
2026-06-21;EN 414;Zapresic;19:51;19:52
2026-06-21;EN 414;Dobova;20:04;20:19
2026-06-21;EN 414;Sevnica;20:48;20:50
2026-06-21;EN 414;Zidani Most;21:04;21:06
2026-06-21;EN 414;Ljubljana;22:01;22:10
2026-06-21;EN 414;Kranj;22:33;22:35
2026-06-21;EN 414;Lesce-Bled;22:53;22:55
2026-06-21;EN 414;Jesenice(SLO);23:06;23:17
2026-06-21;EN 414;Villach Hbf;23:53;00:51
2026-06-22;EN 414;Spittal-Millstättersee;01:13;01:15
2026-06-22;EN 414;Mallnitz-Obervellach;01:23;01:37
2026-06-22;EN 414;Bad Gastein;01:48;01:50
2026-06-22;EN 414;Schwarzach-St.Veit;02:11;02:29
2026-06-22;EN 414;Salzburg Hbf;03:05;03:56
2026-06-22;EN 414;Rosenheim;05:16;05:24
2026-06-22;EN 414;München Ost;05:52;06:03
2026-06-22;EN 414;Augsburg Hbf;06:45;06:52
2026-06-22;EN 414;Ulm Hbf;07:35;07:39
2026-06-22;EN 414;Göppingen;08:12;08:14
2026-06-22;EN 414;Stuttgart Hbf;08:41;
2026-06-22;EN 414;Zagreb Glavni Kolod.;;19:39
2026-06-22;EN 414;Zapresic;19:51;19:52
2026-06-22;EN 414;Dobova;20:04;20:19
2026-06-22;EN 414;Sevnica;20:48;20:50
2026-06-22;EN 414;Zidani Most;21:04;21:06
2026-06-22;EN 414;Ljubljana;22:01;22:10
2026-06-22;EN 414;Kranj;22:33;22:35
2026-06-22;EN 414;Lesce-Bled;22:53;22:55
2026-06-22;EN 414;Jesenice(SLO);23:06;23:17
2026-06-23;EN 414;Villach Hbf;00:16;00:31
2026-06-23;EN 414;Spittal-Millstättersee;00:58;00:58
2026-06-23;EN 414;Mallnitz-Obervellach;01:24;01:25
